@relation iris

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
5.1,3.34054,1.4,0.228901,Iris-setosa
4.804258,3,1.4,0.230015,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa
4.6,2.98388,1.293099,0.2,Iris-setosa
5,3.269208,1.4,0.234452,Iris-setosa
5.4,3.9,1.584018,0.2956,Iris-setosa
4.6,2.98388,1.383276,0.252789,Iris-setosa
4.880626,3.184056,1.453693,0.253496,Iris-setosa
4.72789,2.9,1.4,0.2,Iris-setosa
4.9,3.197876,1.458555,0.253544,Iris-setosa
5.338834,3.7,1.478492,0.2,Iris-setosa
5.10973,3.4,1.511181,0.260274,Iris-setosa
4.880626,3.184056,1.453693,0.253496,Iris-setosa
4.3,2.769885,1.307998,0.252034,Iris-setosa
5.8,3.839863,1.2,0.2,Iris-setosa
4.880626,3.184056,1.5,0.264205,Iris-setosa
5.49157,3.9,1.3,0.217121,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa
5.7,3.768531,1.577649,0.3,Iris-setosa
4.880626,3.184056,1.453693,0.253496,Iris-setosa
5.10973,3.4,1.7,0.30394,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa
4.6,2.98388,1,0.2,Iris-setosa
5.1,3.3,1.50874,0.24926,Iris-setosa
4.880626,3.184056,1.9,0.2,Iris-setosa
4.880626,3.184056,1.6,0.28733,Iris-setosa
5,3.269208,1.483647,0.253796,Iris-setosa
5.2,3.411872,1.533833,0.254299,Iris-setosa
4.880626,3.184056,1.4,0.241079,Iris-setosa
4.956994,3.2,1.382678,0.2,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa
4.880626,3.184056,1.5,0.4,Iris-setosa
5.644306,4.1,1.546613,0.1,Iris-setosa
4.880626,3.184056,1.453693,0.253496,Iris-setosa
4.9,3.197876,1.458555,0.253544,Iris-setosa
4.880626,3.184056,1.2,0.2,Iris-setosa
5.186098,3.5,1.530344,0.265843,Iris-setosa
4.9,3.197876,1.5,0.263129,Iris-setosa
4.4,2.841217,1.3,0.2,Iris-setosa
4.880626,3.184056,1.363515,0.2,Iris-setosa
4.880626,3.184056,1.3,0.3,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa
4.956994,3.2,1.382678,0.2,Iris-setosa
5.186098,3.5,1.6,0.281951,Iris-setosa
5.1,3.8,1.50874,0.308307,Iris-setosa
4.8,3.126544,1.4,0.245554,Iris-setosa
